topology,topology_key,load_erlang,seed,method,warmup,evaluated,accepted,blocked,blocking_rate,avg_decision_ms,avg_legal_actions,avg_path_idx,avg_mod_idx,avg_block_idx,avg_start_slot,avg_required_fs,avg_path_hops,avg_path_km,avg_block_waste,request_trace_hash,elapsed_seconds
cost239,cost239_deeprmsa,600.0,5001,ff_ksp_k50_hops,500,6000,5613,387,0.0645,0.10788181631748255,10.8065,2.084624977730269,1.0659184037056832,0.0,31.559059326563336,4.279707821129521,1.8419739889542135,2052.3730625334047,0.22873865607312172,2162c1dfdddd5430316237db542ae82077fbc7d56e2554ddb87dc456703b951d,19.996351100038737
cost239,cost239_deeprmsa,600.0,5001,ksp_ff_k50_hops,500,6000,5869,131,0.021833333333333333,0.01897101622307673,18.115666666666666,0.44743567899131026,1.187425455784631,0.0,32.65224058613052,4.186573521894701,1.620378258647129,1789.366161185892,0.300193625677756,2162c1dfdddd5430316237db542ae82077fbc7d56e2554ddb87dc456703b951d,19.56134330003988
cost239,cost239_deeprmsa,600.0,5001,strict_v13,500,6000,4852,1148,0.19133333333333333,3.2229807336698286,6.8495,4.6479802143446,0.5946001648804616,0.32605111294311623,45.26813685078318,4.953009068425391,2.184047815333883,2504.2662819455895,0.23503428176651797,2162c1dfdddd5430316237db542ae82077fbc7d56e2554ddb87dc456703b951d,40.96032549999654
cost239,cost239_deeprmsa,600.0,5002,ff_ksp_k50_hops,500,6000,5714,286,0.04766666666666667,0.1119515997900938,13.227833333333333,2.2098354917745886,1.0409520476023801,0.0,31.18358417920896,4.296114805740287,1.8657682884144207,2090.015750787539,0.22705742248115723,49b9c7a5afb779be880a32242010ca4823c612168e2f30145a275e686e13cb87,19.922111099993344
cost239,cost239_deeprmsa,600.0,5002,ksp_ff_k50_hops,500,6000,5925,75,0.0125,0.019451299759869773,23.885166666666667,0.4124894514767932,1.1783966244725739,0.0,32.05029535864979,4.162362869198312,1.6146835443037975,1789.7518987341773,0.316421886557846,49b9c7a5afb779be880a32242010ca4823c612168e2f30145a275e686e13cb87,19.891909499943722
cost239,cost239_deeprmsa,600.0,5002,strict_v13,500,6000,4945,1055,0.17583333333333334,3.233392082785334,6.827833333333333,4.504347826086956,0.578159757330637,0.3302325581395349,45.4479271991911,4.951668351870576,2.1870576339737107,2512.4408493427704,0.23532365659628895,49b9c7a5afb779be880a32242010ca4823c612168e2f30145a275e686e13cb87,40.668768299976364
cost239,cost239_deeprmsa,600.0,5003,ff_ksp_k50_hops,500,6000,5650,350,0.058333333333333334,0.10389203307568096,11.586166666666667,2.033451327433628,1.0534513274336283,0.0,32.094513274336286,4.314336283185841,1.8446017699115045,2062.166371681416,0.22867624557771013,3a6e5cbd9403e39a98b0714de3b59ed3af0e86210c2fa6a6444bcef5621e2aea,18.89820429997053
cost239,cost239_deeprmsa,600.0,5003,ksp_ff_k50_hops,500,6000,5895,105,0.0175,0.019340133032528684,19.068833333333334,0.4715860899067006,1.183375742154368,0.0,32.73808312128923,4.200508905852417,1.6188295165394402,1799.206106870229,0.3051270051886149,3a6e5cbd9403e39a98b0714de3b59ed3af0e86210c2fa6a6444bcef5621e2aea,19.873112500004936
cost239,cost239_deeprmsa,600.0,5003,strict_v13,500,6000,4858,1142,0.19033333333333333,3.183940767038924,6.653666666666667,4.315150267599836,0.5629888843145328,0.322972416632359,45.259983532317825,5.007204610951009,2.160354055166735,2483.5549608892547,0.2380849403261943,3a6e5cbd9403e39a98b0714de3b59ed3af0e86210c2fa6a6444bcef5621e2aea,40.416156899998896
cost239,cost239_deeprmsa,600.0,5004,ff_ksp_k50_hops,500,6000,5727,273,0.0455,0.10812883367179893,13.875833333333333,2.0539549502357257,1.0460974332111053,0.0,31.65915837262092,4.28234677841802,1.8369128688667715,2057.7230661777544,0.2350683598716031,ab022dff04ae06f304fb8c5c29b81ff02da0a9f0cfb20712de01b60aaaab191c,19.169535499997437
cost239,cost239_deeprmsa,600.0,5004,ksp_ff_k50_hops,500,6000,5906,94,0.015666666666666666,0.018782783212373033,22.524166666666666,0.3833389773112089,1.1772773450728073,0.0,32.081781239417545,4.165424991534033,1.6080257365391128,1786.9556383338977,0.31305891512986384,ab022dff04ae06f304fb8c5c29b81ff02da0a9f0cfb20712de01b60aaaab191c,19.253998499945737
